Time,Q1,Q2,T1,T2,TSP1,TSP2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.094949999999999690e+01
5.050998210906982422e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.094949999999999690e+01
8.215993404388427734e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.094949999999999690e+01,2.094949999999999690e+01
9.217994928359985352e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
1.022003388404846191e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.094949999999999690e+01,2.062719999999999843e+01,5.000000000000000000e+01,2.094949999999999690e+01
1.122299313545227051e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
1.222599387168884277e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
1.322599554061889648e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
1.422499394416809082e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.127179999999999893e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
1.522099447250366211e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.127179999999999893e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
1.622799634933471680e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.127179999999999893e+01,2.062719999999999843e+01,5.000000000000000000e+01,2.094949999999999690e+01
1.722303009033203125e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.159409999999999741e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
1.822199416160583496e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.159409999999999741e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
1.921499323844909668e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.191639999999999944e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.022099351882934570e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.191639999999999944e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.121699452400207520e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.223869999999999791e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.221699476242065430e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.223869999999999791e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.321299600601196289e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.256099999999999994e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.422199559211730957e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.288329999999999842e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.520699715614318848e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.320559999999999690e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.622299551963806152e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.352789999999999893e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.720599341392517090e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.352789999999999893e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.821799302101135254e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.385019999999999740e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
2.920503520965576172e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.417249999999999943e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.021999406814575195e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.449479999999999791e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.120399379730224609e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.481709999999999638e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.221799206733703613e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.481709999999999638e+01,2.094949999999999690e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.320403242111206055e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.513939999999999841e+01,2.127179999999999893e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.421903204917907715e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.546169999999999689e+01,2.127179999999999893e+01,5.000000000000000000e+01,2.094949999999999690e+01
3.520599317550659180e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.578399999999999892e+01,2.127179999999999893e+01,5.000000000000000000e+01,2.094949999999999690e+01
